round_index,mean_revenue,mean_payout,mean_burn,mean_treasury_cost,mean_carry,mean_margin_ex_burn,scenario
1,22311.991812400986,5396.526747359673,6062.398362480198,8000.0,18853.06670256112,14311.991812400987,baseline
2,22306.28138160432,8130.138567620514,4461.256276320864,0.0,28567.95324022406,22306.28138160432,baseline
3,22320.098372164717,11870.39247110838,6064.019674432944,8000.0,40953.63946684746,14320.098372164719,baseline
4,22324.07134620132,13076.24595361121,4464.8142692402635,0.0,45736.6505901973,22324.07134620132,baseline
5,22302.43671975142,15785.102690360149,6060.4873439502835,8000.0,54193.497275638285,14302.436719751418,baseline
6,22310.698398187906,16238.620210522164,4462.139679637581,0.0,55803.43578366644,22310.698398187906,baseline
7,22321.60701315986,18293.640976941744,6064.321402631973,8000.0,61767.08041725258,14321.607013159863,baseline
8,22305.87197861134,19161.915566159765,6061.174395722268,8000.0,66849.86243398189,14305.87197861134,baseline
9,22318.279857065227,19035.60687281593,4463.655971413045,0.0,65668.87944681814,22318.279857065227,baseline
10,22319.766655564777,20360.174018463655,6063.953331112956,8000.0,69564.51875280631,14319.76665556478,baseline
11,22318.79150144083,19942.653190611032,4463.758300288166,0.0,67476.89876334794,22318.79150144083,baseline
12,22307.38099149464,20317.22971708714,6061.4761982989285,8000.0,71405.57383945651,14307.380991494641,baseline
13,22320.72583074521,19974.356577500905,4464.145166149042,0.0,69287.79792655178,22320.72583074521,baseline
14,22310.5867882412,21105.446656238466,6062.117357648241,8000.0,72430.82070090628,14310.586788241202,baseline
15,22311.979517613203,21644.244826641207,6062.395903522642,8000.0,75036.15948835562,14311.979517613205,baseline
16,22291.899992101462,20683.45813950286,4458.379998420292,0.0,72186.22134253393,22291.899992101462,baseline
17,22307.74147503328,21780.093992848124,6061.548295006656,8000.0,74652.32052971244,14307.741475033281,baseline
18,22306.975147513123,21031.09358880409,4461.395029502624,0.0,71466.80705891883,22306.975147513123,baseline
19,22291.084884340347,21521.592942475476,6058.21697686807,8000.0,74178.08202391563,14291.084884340347,baseline
20,22316.223629041207,20439.128992981405,4463.244725808241,0.0,71591.93193416721,22316.223629041207,baseline
21,22315.40738811064,21668.01437031197,6063.081477622129,8000.0,74176.24347434375,14315.407388110641,baseline
22,22317.400431055245,21978.954878054217,6063.480086211049,8000.0,76451.20894113372,14317.400431055245,baseline
23,22323.193748123394,20893.996037714584,4464.63874962468,0.0,73415.76790191786,22323.193748123394,baseline
24,22300.874876285936,22003.072787543086,6060.174975257188,8000.0,75653.39501540353,14300.874876285938,baseline
25,22305.022006653966,21049.639516428786,4461.0044013307925,0.0,72447.7731042979,22305.022006653966,baseline
26,22309.49230043191,21799.86142350886,6061.898460086383,8000.0,74895.50552113458,14309.492300431913,baseline
27,22302.74518827261,20561.899754141705,4460.549037654523,0.0,72175.80191761095,22302.74518827261,baseline
28,22290.77719553203,21573.075650441308,6058.155439106406,8000.0,74835.34802359527,14290.777195532031,baseline
29,22316.273544043688,22166.42853742174,6063.2547088087385,8000.0,76921.93832140848,14316.273544043692,baseline
30,22305.815691071482,21601.648996294247,4461.163138214298,0.0,73164.94187797143,22305.815691071482,baseline
31,22299.636512422152,22097.83218335545,6059.9273024844315,8000.0,75306.8189045537,14299.636512422154,baseline
32,22325.62243095781,20696.30875708625,4465.124486191561,0.0,72471.00809223371,22325.62243095781,baseline
33,22314.171899488018,21868.07421118907,6062.834379897604,8000.0,74854.27140063504,14314.171899488018,baseline
34,22297.731612187257,20720.759324232942,4459.546322437452,0.0,71971.6973661519,22297.731612187257,baseline
35,22312.30234881552,21669.535024118566,6062.460469763104,8000.0,74552.00422108575,14312.30234881552,baseline
36,22311.55390934142,21884.157976873503,6062.310781868284,8000.0,76917.08937168539,14311.553909341419,baseline
37,22311.39227432549,21161.658440506566,4462.278454865098,0.0,73604.5447506392,22311.39227432549,baseline
38,22310.150462517875,22136.335588577324,6062.030092503575,8000.0,75716.32953207618,14310.150462517879,baseline
39,22307.373557874158,21015.954303345792,4461.474711574832,0.0,72546.27407502971,22307.373557874158,baseline
40,22303.295446261778,21660.932381936967,6060.659089252356,8000.0,75127.97805010217,14303.29544626178,baseline
41,22298.687315457322,20798.096310300338,4459.737463091465,0.0,72168.83159216768,22298.687315457322,baseline
42,22298.907656219402,21223.293236635018,6059.781531243881,8000.0,75184.66448050819,14298.9076562194,baseline
43,22296.66530365342,22443.71743542692,6059.333060730684,8000.0,76978.279288004,14296.665303653419,baseline
44,22315.979862593264,20888.510031935937,4463.1959725186525,0.0,73942.55314614267,22315.979862593264,baseline
45,22311.991835920555,22459.26128897259,6062.398367184111,8000.0,75732.88532590654,14311.991835920553,baseline
46,22309.34275577516,21099.1695325698,4461.868551155033,0.0,72481.18999795686,22309.34275577516,baseline
47,22314.27238204244,21686.597512716526,6062.854476408489,8000.0,75046.01039087427,14314.272382042443,baseline
48,22318.730990420034,20831.019625627647,4463.746198084006,0.0,72069.97555758266,22318.730990420034,baseline
49,22308.366772453246,21400.170541265416,6061.673354490649,8000.0,74916.49843427984,14308.366772453244,baseline
50,22297.151453417064,22619.015123060868,6059.430290683413,8000.0,76535.20447395262,14297.151453417062,baseline
51,22315.1728646452,21219.710969528318,4463.034572929039,0.0,73167.63179614046,22315.1728646452,baseline
52,22323.209195676838,21407.47514397242,6064.641839135367,8000.0,76018.72400870953,14323.209195676834,baseline
53,22317.453416369935,21333.693239321303,4463.490683273987,0.0,72538.99350248415,22317.453416369935,baseline
54,22298.047818793177,21577.43296708963,6059.609563758636,8000.0,75199.99879042908,14298.04781879318,baseline
55,22318.992737718527,21039.724346909272,4463.798547543705,0.0,72015.46863369462,22318.992737718527,baseline
56,22303.41063970665,21355.731520384477,6060.682127941331,8000.0,74902.46562507546,14303.410639706652,baseline
57,22306.124282642373,22229.946876725127,6061.224856528475,8000.0,76917.41817446424,14306.124282642373,baseline
58,22304.856469991144,20871.280742407183,4460.971293998229,0.0,73890.02260804996,22304.856469991144,baseline
59,22309.164268935052,22081.736517449626,6061.83285378701,8000.0,76055.61750574838,14309.16426893505,baseline
60,22298.25770670584,21275.169544357785,4459.651541341169,0.0,72619.05412675526,22298.25770670584,baseline
61,22300.58746841948,21924.340976777334,6060.117493683896,8000.0,74935.18312471351,14300.587468419477,baseline
62,22311.70346207356,20344.880729087297,4462.340692414713,0.0,72439.66516528507,22311.70346207356,baseline
63,22301.62017594693,21583.31544584295,6060.3240351893855,8000.0,75097.64586019966,14301.620175946926,baseline
64,22294.55695099893,22072.179758511178,6058.911390199786,8000.0,77261.11166248763,14294.556950998927,baseline
65,22317.720892578316,21547.606592375083,4463.544178515664,0.0,73567.68178417519,22317.720892578316,baseline
66,22307.931675759897,21906.547186908865,6061.586335151979,8000.0,75907.47993787425,14307.931675759899,baseline
67,22297.722168374792,20655.877346402136,4459.544433674959,0.0,73089.78032617194,22297.722168374792,baseline
68,22311.51291587754,21509.426252671135,6062.302583175509,8000.0,75829.56440620284,14311.512915877543,baseline
69,22300.311289585647,20787.872094638402,4460.0622579171295,0.0,72881.94134323296,22300.311289585647,baseline
70,22302.354769684945,21719.14491375593,6060.47095393699,8000.0,75404.68024522498,14302.354769684945,baseline
71,22297.98167780932,22650.68130664039,6059.596335561864,8000.0,76992.38428083205,14297.98167780932,baseline
72,22273.997383849033,21183.377021958895,4454.7994767698065,0.0,73628.20516595239,22273.997383849033,baseline
73,22319.65233839195,22065.50527764573,6063.93046767839,8000.0,75818.4217590202,14319.65233839195,baseline
74,22310.67451917067,21093.42698488097,4462.134903834134,0.0,72573.53438947578,22310.67451917067,baseline
75,22299.139393391306,21781.586978802832,6059.827878678261,8000.0,75031.25892538598,14299.139393391306,baseline
76,22310.04977798603,21038.1759440485,4462.0099555972065,0.0,71841.1228037263,22310.04977798603,baseline
77,22304.704372877142,21314.97851742283,6060.94087457543,8000.0,74769.9077846052,14304.704372877146,baseline
78,22312.021234437627,22298.41008593578,6062.404246887526,8000.0,76721.11468621952,14312.021234437623,baseline
79,22314.498427360424,21058.08732220373,4462.899685472085,0.0,73514.62610590411,22314.498427360424,baseline
80,22301.396524407526,21850.828103561245,6060.279304881506,8000.0,75904.91522186888,14301.396524407526,baseline
81,22321.066159534923,21024.09472727103,4464.213231906985,0.0,72737.67342222581,22321.066159534923,baseline
82,22313.13630600831,21993.413862367215,6062.627261201662,8000.0,74994.76860466524,14313.136306008311,baseline
83,22325.278510089272,20926.52527225146,4465.055702017855,0.0,71928.46614048518,22325.278510089272,baseline
84,22292.795030635458,21261.747110033757,6058.559006127092,8000.0,74900.95505495979,14292.79503063546,baseline
85,22316.55018363614,22440.764167867062,6063.310036727228,8000.0,76713.43103400165,14316.55018363614,baseline
86,22297.18023793464,21285.10483260245,4459.436047586928,0.0,73266.0703917469,22297.18023793464,baseline
87,22326.66852009381,22115.72951363475,6065.333704018763,8000.0,75411.67569418722,14326.66852009381,baseline
88,22313.59816780774,21107.640396815572,4462.719633561548,0.0,72154.91383161781,22313.59816780774,baseline
89,22326.692028815403,21916.957100185766,6065.338405763081,8000.0,74499.31035448438,14326.692028815403,baseline
90,22292.306523842773,20803.956384607176,4458.461304768555,0.0,71529.19918895142,22292.306523842773,baseline
91,22306.482770916067,21313.620112538396,6061.296554183214,8000.0,74460.76529314589,14306.482770916067,baseline
92,22311.754996325533,21793.24402439337,6062.350999265107,8000.0,76916.92526581293,14311.754996325533,baseline
93,22300.043809937288,21434.153334853687,4460.008761987458,0.0,73322.80697890908,22300.043809937288,baseline
94,22300.427497132005,21833.34783227945,6060.0854994264,8000.0,75729.80114433523,14300.427497132001,baseline
95,22319.977006672052,21166.331201591067,4463.99540133441,0.0,72419.4515480818,22319.977006672052,baseline
96,22312.503903712055,21629.6304866698,6062.500780742413,8000.0,75039.82418438164,14312.503903712059,baseline
97,22302.196647385263,21085.032325768647,4460.439329477053,0.0,71796.54917652119,22302.196647385263,baseline
98,22299.79222323594,21374.973300854304,6059.958444647189,8000.0,74661.40965425567,14299.792223235945,baseline
99,22310.999173710483,22178.203894375252,6062.199834742097,8000.0,76732.0050988488,14310.999173710487,baseline
100,22300.1223440548,21384.46267267575,4460.02446881096,0.0,73187.64030141688,22300.1223440548,baseline
101,22325.890664445345,22214.87924642509,6065.178132889069,8000.0,75233.47358654806,14325.890664445344,baseline
102,22313.458302611914,20899.00604752156,4462.691660522382,0.0,72185.23418111603,22313.458302611914,baseline
103,22310.735256280434,21980.16632318186,6062.147051256086,8000.0,74453.65606295853,14310.735256280434,baseline
104,22307.91863434725,20108.630792873853,4461.58372686945,0.0,72191.36017756246,22307.91863434725,baseline
1,23223.48902417916,5620.868669308218,6244.697804835832,8000.0,19357.922550035113,15223.489024179162,bonus_tickets_light
2,23197.079375212063,8802.395984423103,4639.415875042412,0.0,29113.19006578166,23197.079375212063,bonus_tickets_light
3,23217.951296554675,12310.856096511154,6243.590259310936,8000.0,41776.695006514245,15217.951296554675,bonus_tickets_light
4,23199.052900259303,13647.488235174074,4639.810580051861,0.0,46688.44909154761,23199.052900259303,bonus_tickets_light
5,23201.65473257558,16356.821894773468,6240.330946515116,8000.0,55292.950982834605,15201.654732575576,bonus_tickets_light
6,23188.38701627732,16977.956956628128,4637.677403255464,0.0,56865.703639228326,23188.38701627732,bonus_tickets_light
7,23215.793181069013,18514.443859270257,6243.158636213802,8000.0,63323.894324813285,15215.793181069012,bonus_tickets_light
8,23196.857379688685,20180.28634505876,6239.371475937737,8000.0,68101.09388350547,15196.857379688681,bonus_tickets_light
9,23221.146467932595,19903.88554893346,4644.229293586519,0.0,66774.12550891808,23221.146467932595,bonus_tickets_light
10,23202.222527918977,21162.71754554939,6240.444505583796,8000.0,70573.18598570387,15202.222527918975,bonus_tickets_light
11,23212.01087855737,20528.746740245835,4642.402175711474,0.0,68614.04794830392,23212.01087855737,bonus_tickets_light
12,23216.082548123824,21205.201391184237,6243.216509624765,8000.0,72381.71259561875,15216.082548123826,bonus_tickets_light
13,23223.996532538767,20402.668331190012,4644.799306507754,0.0,70558.24149045975,23223.996532538767,bonus_tickets_light
14,23206.342910274067,22338.85218427649,6241.268582054813,8000.0,73184.46363440253,15206.342910274067,bonus_tickets_light
15,23203.740505241778,22282.512003747233,6240.748101048356,8000.0,75864.94403484873,15203.740505241776,bonus_tickets_light
16,23192.707656212468,21408.146435509443,4638.541531242494,0.0,73010.96372430924,23192.707656212468,bonus_tickets_light
17,23214.480202528754,22301.41675480982,6242.896040505751,8000.0,75681.13113152243,15214.480202528754,bonus_tickets_light
18,23208.39960617035,21263.682505029712,4641.67992123407,0.0,72984.16831142899,23208.39960617035,bonus_tickets_light
19,23184.92332910978,22446.642906250112,6236.984665821957,8000.0,75485.46406846671,15184.923329109779,bonus_tickets_light
20,23181.288433635833,21317.754060560455,4636.257686727167,0.0,72712.74075481492,23181.288433635833,bonus_tickets_light
21,23209.153303005703,22443.005781571563,6241.830660601141,8000.0,75237.05761564791,15209.153303005702,bonus_tickets_light
22,23202.314877097902,22576.842877309526,6240.462975419581,8000.0,77622.06664001671,15202.3148770979,bonus_tickets_light
23,23203.127225536755,21919.077061393604,4640.625445107351,0.0,74265.49135905251,23203.127225536755,bonus_tickets_light
24,23205.839177621816,22559.357644797965,6241.167835524363,8000.0,76670.805056352,15205.839177621814,bonus_tickets_light
25,23197.967958003148,21905.492656108592,4639.59359160063,0.0,73323.68676664593,23197.967958003148,bonus_tickets_light
26,23212.06942007882,22437.759593908842,6242.413884015765,8000.0,75855.58270880014,15212.069420078822,bonus_tickets_light
27,23191.57869842592,21811.91904977205,4638.315739685184,0.0,72596.92661776883,23191.57869842592,bonus_tickets_light
28,23198.832061791698,22252.012516970924,6239.766412358341,8000.0,75303.97975023127,15198.832061791702,bonus_tickets_light
29,23194.379201407784,22728.149235989258,6238.875840281557,8000.0,77531.33387536822,15194.379201407783,bonus_tickets_light
30,23208.506956203037,21545.52683380694,4641.701391240607,0.0,74552.6126065237,23208.506956203037,bonus_tickets_light
31,23196.014324273954,22541.502546253378,6239.202864854791,8000.0,76967.9215196895,15196.014324273956,bonus_tickets_light
32,23199.459334994513,21801.885198612697,4639.8918669989025,0.0,73725.60378907241,23199.459334994513,bonus_tickets_light
33,23197.127042701628,22559.23528652985,6239.425408540325,8000.0,76124.07013670387,15197.127042701626,bonus_tickets_light
34,23188.091460312193,21326.589066335335,4637.618292062438,0.0,73347.95423861829,23188.091460312193,bonus_tickets_light
35,23206.281580162435,22378.450784398192,6241.256316032488,8000.0,75934.52871835003,15206.281580162437,bonus_tickets_light
36,23197.162792930045,23425.777148665213,6239.43255858601,8000.0,77466.48180402885,15197.162792930045,bonus_tickets_light
37,23199.979844338126,22240.837457229813,4639.995968867625,0.0,73785.62822226954,23199.979844338126,bonus_tickets_light
38,23195.523102778545,22474.67432525147,6239.10462055571,8000.0,76267.37237924091,15195.523102778547,bonus_tickets_light
39,23217.875970979047,21872.572420004562,4643.57519419581,0.0,72969.10073601958,23217.875970979047,bonus_tickets_light
40,23210.20597496837,22743.614682113293,6242.041194993674,8000.0,75193.650833881,15210.205974968369,bonus_tickets_light
41,23196.300633379367,21591.173661698347,4639.260126675874,0.0,72159.51767888613,23196.300633379367,bonus_tickets_light
42,23216.934261195398,22246.06411596966,6243.386852239079,8000.0,74887.0009718728,15216.934261195398,bonus_tickets_light
43,23227.899406112585,23073.194076893255,6245.5798812225175,8000.0,76796.1264198696,15227.899406112587,bonus_tickets_light
44,23212.564393840865,21605.461708487215,4642.512878768173,0.0,73760.71622645507,23212.564393840865,bonus_tickets_light
45,23201.72866152526,22470.813517210605,6240.3457323050525,8000.0,76251.28563846467,15201.728661525261,bonus_tickets_light
